ct_label,year,n_papers,n_unique_doi,mean_citations,median_citations,total_citations,mean_altmetric,total_altmetric,mean_mendeley_readers,total_mendeley_readers,share_oa,mean_ct_score
noise,2002,3,3,114.0,9.0,342.0,0.0,0.0,174.33333333333334,523.0,0.3333333333333333,0.0
noise,2003,5,5,59.2,29.0,296.0,1.2,6.0,49.4,247.0,0.0,0.0
noise,2004,5,5,73.8,82.0,369.0,1.5,7.5,203.2,1016.0,0.4,0.2
noise,2005,8,8,14.75,14.0,118.0,0.375,3.0,27.875,223.0,0.0,0.25
noise,2006,12,12,134.91666666666666,18.5,1619.0,2.0416666666666665,24.5,191.0,2292.0,0.08333333333333333,0.25
noise,2007,13,13,107.38461538461539,19.0,1396.0,0.9038461538461539,11.75,111.15384615384616,1445.0,0.15384615384615385,0.3076923076923077
noise,2008,9,9,152.33333333333334,20.0,1371.0,3.1500000000000004,28.35,253.44444444444446,2281.0,0.2222222222222222,0.1111111111111111
noise,2009,24,24,117.125,23.0,2811.0,3.1520833333333336,75.65,151.83333333333334,3644.0,0.16666666666666666,0.20833333333333334
noise,2010,21,21,59.142857142857146,12.0,1242.0,0.5595238095238095,11.75,121.47619047619048,2551.0,0.23809523809523808,0.19047619047619047
noise,2011,20,20,118.75,10.5,2375.0,7.475,149.5,245.9,4918.0,0.35,0.25
noise,2012,27,27,84.29629629629629,22.0,2276.0,4.7444444444444445,128.1,124.96296296296296,3374.0,0.2222222222222222,0.4074074074074074
noise,2013,30,30,98.2,14.0,2946.0,5.821666666666667,174.65,118.7,3561.0,0.3333333333333333,0.6
noise,2014,33,33,48.06060606060606,25.0,1586.0,11.254545454545458,371.4000000000001,129.03030303030303,4258.0,0.3333333333333333,0.5454545454545454
noise,2015,32,32,98.84375,19.0,3163.0,15.334375000000001,490.70000000000005,284.84375,9115.0,0.40625,0.28125
noise,2016,24,24,36.875,22.5,885.0,6.2875000000000005,150.9,95.66666666666667,2296.0,0.375,0.375
noise,2017,44,44,24.727272727272727,10.0,1088.0,7.234090909090909,318.3,63.93181818181818,2813.0,0.3409090909090909,0.1590909090909091
noise,2018,37,37,18.27027027027027,10.0,676.0,8.341891891891892,308.65000000000003,51.5945945945946,1909.0,0.40540540540540543,0.7567567567567568
noise,2019,49,49,78.89795918367346,11.0,3866.0,18.537755102040816,908.35,106.12244897959184,5200.0,0.46938775510204084,0.7142857142857143
noise,2020,67,67,25.29850746268657,18.0,1695.0,9.478358208955223,635.05,73.16417910447761,4902.0,0.40298507462686567,0.7761194029850746
noise,2021,54,54,15.25925925925926,7.0,824.0,5.198148148148149,280.70000000000005,53.129629629629626,2869.0,0.42592592592592593,0.7962962962962963
noise,2022,57,57,14.508771929824562,6.0,827.0,14.208771929824561,809.9,87.47368421052632,4986.0,0.49122807017543857,0.9298245614035088
noise,2023,66,66,12.696969696969697,4.5,838.0,4.191666666666667,276.65000000000003,30.37878787878788,2005.0,0.5303030303030303,0.8181818181818182
noise,2024,83,83,10.650602409638553,3.0,884.0,9.271686746987951,769.55,22.566265060240966,1873.0,0.5421686746987951,0.7349397590361446
noise,2025,42,42,2.261904761904762,0.0,95.0,5.335714285714285,224.1,12.857142857142858,540.0,0.40476190476190477,0.6666666666666666
none,1970,1,1,43.0,43.0,43.0,0.0,0.0,17.0,17.0,0.0,0.0
none,1981,1,1,31.0,31.0,31.0,3.5,3.5,22.0,22.0,0.0,0.0
none,1983,3,3,3.6666666666666665,3.0,11.0,0.0,0.0,4.0,12.0,0.0,0.0
none,1984,5,5,188.2,8.0,941.0,1.2,6.0,33.8,169.0,0.0,0.0
none,1986,1,1,5.0,5.0,5.0,0.0,0.0,4.0,4.0,0.0,0.0
none,1987,1,1,13.0,13.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0
none,1988,6,6,322.6666666666667,15.0,1936.0,9.558333333333334,57.35,315.0,1890.0,0.16666666666666666,0.0
none,1989,4,4,3.0,2.5,12.0,0.0,0.0,1.75,7.0,0.0,0.0
none,1990,4,4,1.75,2.0,7.0,0.0,0.0,6.25,25.0,0.0,0.0
